kind,key,cents_per_m2,effective_from,valid_until,source
richtwert,AT-1,609,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-2,781,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-3,685,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-4,723,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-5,922,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-6,921,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-7,814,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-8,1025,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-9,667,2023-04-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_81/BGBLA_2023_II_81.pdf
richtwert,AT-1,615,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-2,789,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-3,692,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-4,730,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-5,931,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-6,930,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-7,822,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-8,1035,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
richtwert,AT-9,674,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
category,A,423,2022-11-01,2023-07-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,B,318,2022-11-01,2023-07-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,C,212,2022-11-01,2023-07-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,D_usable,212,2022-11-01,2023-07-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,D_unusable,106,2022-11-01,2023-07-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,A,447,2023-07-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,B,335,2023-07-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,C,223,2023-07-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,D_usable,223,2023-07-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,D_unusable,112,2023-07-01,2026-04-01,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2023_II_170/BGBLA_2023_II_170.html
category,A,451,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
category,B,338,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
category,C,225,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
category,D_usable,225,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
category,D_unusable,113,2026-04-01,2027-04-01,https://www.statistik.at/fileadmin/pages/2114/VOe_Richtwerte_Kategoriemieten_20260401.pdf
