series,period,value,preliminary
VPI1966,1967,104,false
VPI1966,1967-01,103.3,false
VPI1966,1967-02,103.2,false
VPI1966,1967-03,102.9,false
VPI1966,1967-04,103,false
VPI1966,1967-05,103.5,false
VPI1966,1967-06,103.3,false
VPI1966,1967-07,104,false
VPI1966,1967-08,104.2,false
VPI1966,1967-09,104.9,false
VPI1966,1967-10,105.1,false
VPI1966,1967-11,105.1,false
VPI1966,1967-12,105.3,false
VPI1966,1968,106.9,false
VPI1966,1968-01,105.4,false
VPI1966,1968-02,105.7,false
VPI1966,1968-03,106.1,false
VPI1966,1968-04,106.1,false
VPI1966,1968-05,105.8,false
VPI1966,1968-06,106.5,false
VPI1966,1968-07,106.8,false
VPI1966,1968-08,107.3,false
VPI1966,1968-09,107.4,false
VPI1966,1968-10,108.3,false
VPI1966,1968-11,108.4,false
VPI1966,1968-12,108.5,false
VPI1966,1969,110.2,false
VPI1966,1969-01,108.9,false
VPI1966,1969-02,108.9,false
VPI1966,1969-03,108.9,false
VPI1966,1969-04,109.3,false
VPI1966,1969-05,109.3,false
VPI1966,1969-06,110,false
VPI1966,1969-07,110.7,false
VPI1966,1969-08,110.6,false
VPI1966,1969-09,110.6,false
VPI1966,1969-10,111,false
VPI1966,1969-11,111.4,false
VPI1966,1969-12,112.2,false
VPI1966,1970,115,false
VPI1966,1970-01,113.1,false
VPI1966,1970-02,113,false
VPI1966,1970-03,113.1,false
VPI1966,1970-04,113.4,false
VPI1966,1970-05,113.9,false
VPI1966,1970-06,115.1,false
VPI1966,1970-07,115.8,false
VPI1966,1970-08,115.7,false
VPI1966,1970-09,115.9,false
VPI1966,1970-10,116.4,false
VPI1966,1970-11,116.8,false
VPI1966,1970-12,117.4,false
VPI1966,1971,120.4,false
VPI1966,1971-01,117.8,false
VPI1966,1971-02,118,false
VPI1966,1971-03,118.1,false
VPI1966,1971-04,118.8,false
VPI1966,1971-05,118.7,false
VPI1966,1971-06,120,false
VPI1966,1971-07,120.9,false
VPI1966,1971-08,121.7,false
VPI1966,1971-09,122.1,false
VPI1966,1971-10,122.6,false
VPI1966,1971-11,122.7,false
VPI1966,1971-12,123.1,false
VPI1966,1972,128,false
VPI1966,1972-01,124.1,false
VPI1966,1972-02,124.7,false
VPI1966,1972-03,125.4,false
VPI1966,1972-04,125.5,false
VPI1966,1972-05,125.8,false
VPI1966,1972-06,127.8,false
VPI1966,1972-07,128.3,false
VPI1966,1972-08,129.3,false
VPI1966,1972-09,129.9,false
VPI1966,1972-10,131.2,false
VPI1966,1972-11,131.8,false
VPI1966,1972-12,132.5,false
VPI1966,1973,137.7,false
VPI1966,1973-01,134.1,false
VPI1966,1973-02,134.7,false
VPI1966,1973-03,135,false
VPI1966,1973-04,135.5,false
VPI1966,1973-05,136,false
VPI1966,1973-06,137,false
VPI1966,1973-07,137.4,false
VPI1966,1973-08,138.3,false
VPI1966,1973-09,138.4,false
VPI1966,1973-10,140.4,false
VPI1966,1973-11,142.3,false
VPI1966,1973-12,142.9,false
VPI1966,1974,150.8,false
VPI1966,1974-01,145,false
VPI1966,1974-02,146,false
VPI1966,1974-03,147.1,false
VPI1966,1974-04,148.7,false
VPI1966,1974-05,149.1,false
VPI1966,1974-06,151,false
VPI1966,1974-07,151.2,false
VPI1966,1974-08,152,false
VPI1966,1974-09,152.4,false
VPI1966,1974-10,154.4,false
VPI1966,1974-11,155.7,false
VPI1966,1974-12,156.7,false
VPI1966,1975,163.5,false
VPI1966,1975-01,158.4,false
VPI1966,1975-02,160,false
VPI1966,1975-03,160.7,false
VPI1966,1975-04,161.5,false
VPI1966,1975-05,161.9,false
VPI1966,1975-06,163.6,false
VPI1966,1975-07,164.7,false
VPI1966,1975-08,165.4,false
VPI1966,1975-09,165.7,false
VPI1966,1975-10,166.3,false
VPI1966,1975-11,166.6,false
VPI1966,1975-12,167.3,false
VPI1966,1976,175.5,false
VPI1966,1976-01,169.9,false
VPI1966,1976-02,171.7,false
VPI1966,1976-03,173.2,false
VPI1966,1976-04,174,false
VPI1966,1976-05,174,false
VPI1966,1976-06,175.8,false
VPI1966,1976-07,175.6,false
VPI1966,1976-08,177.7,false
VPI1966,1976-09,177.6,false
VPI1966,1976-10,178.3,false
VPI1966,1976-11,178.5,false
VPI1966,1976-12,179.4,false
VPI1966,1977,185.1,false
VPI1966,1977-01,181.6,false
VPI1966,1977-02,182.7,false
VPI1966,1977-03,183.2,false
VPI1966,1977-04,183.6,false
VPI1966,1977-05,184.1,false
VPI1966,1977-06,185.9,false
VPI1966,1977-07,186.6,false
VPI1966,1977-08,186.7,false
VPI1966,1977-09,186.4,false
VPI1966,1977-10,187.3,false
VPI1966,1977-11,186.4,false
VPI1966,1977-12,186.9,false
VPI1966,1978,191.7,false
VPI1966,1978-01,188.8,false
VPI1966,1978-02,189.7,false
VPI1966,1978-03,190.2,false
VPI1966,1978-04,190.8,false
VPI1966,1978-05,191.1,false
VPI1966,1978-06,191.8,false
VPI1966,1978-07,192.2,false
VPI1966,1978-08,193.4,false
VPI1966,1978-09,192.7,false
VPI1966,1978-10,193.1,false
VPI1966,1978-11,193.2,false
VPI1966,1978-12,193.8,false
VPI1966,1979,198.8,false
VPI1966,1979-01,195.5,false
VPI1966,1979-02,196.6,false
VPI1966,1979-03,196.9,false
VPI1966,1979-04,197.1,false
VPI1966,1979-05,197.1,false
VPI1966,1979-06,198,false
VPI1966,1979-07,199.7,false
VPI1966,1979-08,199.7,false
VPI1966,1979-09,199.9,false
VPI1966,1979-10,200.9,false
VPI1966,1979-11,201.8,false
VPI1966,1979-12,202.9,false
VPI1966,1980,211.4,false
VPI1966,1980-01,205.3,false
VPI1966,1980-02,207.1,false
VPI1966,1980-03,207.8,false
VPI1966,1980-04,208.7,false
VPI1966,1980-05,209.7,false
VPI1966,1980-06,212,false
VPI1966,1980-07,212.9,false
VPI1966,1980-08,214.3,false
VPI1966,1980-09,213.8,false
VPI1966,1980-10,214.5,false
VPI1966,1980-11,214.6,false
VPI1966,1980-12,216.4,false
VPI1966,1981,225.8,false
VPI1966,1981-01,219.7,false
VPI1966,1981-02,221,false
VPI1966,1981-03,222.7,false
VPI1966,1981-04,224.1,false
VPI1966,1981-05,223.9,false
VPI1966,1981-06,225.3,false
VPI1966,1981-07,226.7,false
VPI1966,1981-08,228,false
VPI1966,1981-09,228.5,false
VPI1966,1981-10,229.9,false
VPI1966,1981-11,229.6,false
VPI1966,1981-12,230.3,false
VPI1966,1982,238.1,false
VPI1966,1982-01,233.2,false
VPI1966,1982-02,234.1,false
VPI1966,1982-03,236,false
VPI1966,1982-04,237.1,false
VPI1966,1982-05,237.5,false
VPI1966,1982-06,238.7,false
VPI1966,1982-07,239.2,false
VPI1966,1982-08,239.6,false
VPI1966,1982-09,239.7,false
VPI1966,1982-10,240.4,false
VPI1966,1982-11,240.4,false
VPI1966,1982-12,241.1,false
VPI1966,1983,246,false
VPI1966,1983-01,242.7,false
VPI1966,1983-02,243.8,false
VPI1966,1983-03,244.3,false
VPI1966,1983-04,244.1,false
VPI1966,1983-05,243.4,false
VPI1966,1983-06,244.6,false
VPI1966,1983-07,245.9,false
VPI1966,1983-08,247.3,false
VPI1966,1983-09,247.6,false
VPI1966,1983-10,249,false
VPI1966,1983-11,249.4,false
VPI1966,1983-12,250.3,false
VPI1966,1984,260,false
VPI1966,1984-01,256.4,false
VPI1966,1984-02,257.6,false
VPI1966,1984-03,258.5,false
VPI1966,1984-04,258.5,false
